store,attribute_set,type,category_ids,sku,name,meta_title,meta_description,meta_keyword,description,short_description,price,special_price,status,visibility,options_container,weight,url_key,url_path,tax_class_id,page_layout,image,small_image,thumbnail,image_label,small_image_label,thumbnail_label,manage_stock,use_config_manage_stock,qty,jewel_size_sml,junior_maten,ladies_or_men,lengte,ring_maten,model_nummer
admin,default,simple,"3,4,136,289,141,142",trollbeads_62904,Be My Valentine,Trollbeads Be My Valentine 62904,Liefde overwint alles - is een bekend gezegde. Trollbeads heeft deze bead speciaal voor Valentijnsdag gemaakt. Het is een perfect geschenk voor een speciaal persoon.,Trollbeads Beads,"<BR><div style=""text-align:justify"">Liefde overwint alles - is een bekend gezegde. Trollbeads heeft deze bead speciaal voor Valentijnsdag gemaakt. Het is een perfect geschenk voor een speciaal persoon.</div><BR>",trollbeads_62904,39.00,,1,4,Block after info Column,0,be-my-valentine-trollbeads-62904,be-my-valentine-trollbeads-62904.html,0,No layout updates,+/trollbeads/trollbeads_62904.jpg,+/trollbeads/trollbeads_62904.jpg,+/trollbeads/trollbeads_62904.jpg,Be My Valentine,Be My Valentine,Be My Valentine,0,0,1,,,,,,
admin,default,simple,"3,4,136,289,141,142",trollbeads_61492,Toverlamp,Trollbeads Toverlamp 61492,Als je over de lamp wrijft komt er misschien wel een geest uit! Dan mag je een wens doen... Nieuwe bead uit de voorjaarscollectie 2014 van Trollbeads.,Trollbeads Beads,"<BR><div style=""text-align:justify"">Als je over de lamp wrijft komt er misschien wel een geest uit! Dan mag je een wens doen...<BR><BR>Nieuwe bead uit de voorjaarscollectie 2014 van Trollbeads.</div><BR>",trollbeads_61492,28.00,,1,4,Block after info Column,0,toverlamp-trollbeads-61492,toverlamp-trollbeads-61492.html,0,No layout updates,+/trollbeads/trollbeads_61492.jpg,+/trollbeads/trollbeads_61492.jpg,+/trollbeads/trollbeads_61492.jpg,Toverlamp,Toverlamp,Toverlamp,0,0,1,,,,,,
admin,default,simple,"3,4,136,289,141,142",trollbeads_61491,Fontein van leven,Trollbeads Fontein van leven 61491,Water spuit uit de fontein omhoog en bevloeit al het leven. Nieuwe bead uit de voorjaarscollectie 2014 van Trollbeads.,Trollbeads Beads,"<BR><div style=""text-align:justify"">Water spuit uit de fontein omhoog en bevloeit al het leven.<BR><BR>Nieuwe bead uit de voorjaarscollectie 2014 van Trollbeads.</div><BR>",trollbeads_61491,28.00,,1,4,Block after info Column,0,fontein-van-leven-trollbeads-61491,fontein-van-leven-trollbeads-61491.html,0,No layout updates,+/trollbeads/trollbeads_61491.jpg,+/trollbeads/trollbeads_61491.jpg,+/trollbeads/trollbeads_61491.jpg,Fontein van leven,Fontein van leven,Fontein van leven,0,0,1,,,,,,
admin,default,simple,"3,4,136,289,141,142",trollbeads_61490,Scirocco,Trollbeads Scirocco 61490,"Een hete, droge wind die zand meevoert naar nieuwe plaatsen, als een exotische blik. Nieuwe bead gemaakt van glas uit de voorjaarscollectie 2014 van Trollbeads.",Trollbeads Beads,"<BR><div style=""text-align:justify"">Een hete, droge wind die zand meevoert naar nieuwe plaatsen, als een exotische blik.<BR><BR>Nieuwe bead gemaakt van glas uit de voorjaarscollectie 2014 van Trollbeads.</div><BR>",trollbeads_61490,28.00,,1,4,Block after info Column,0,scirocco-trollbeads-61490,scirocco-trollbeads-61490.html,0,No layout updates,+/trollbeads/trollbeads_61490.jpg,+/trollbeads/trollbeads_61490.jpg,+/trollbeads/trollbeads_61490.jpg,Scirocco,Scirocco,Scirocco,0,0,1,,,,,,
admin,default,simple,"3,4,136,289,141,142",trollbeads_61489,Oase,Trollbeads Oase 61489,Midden in de woestijn doemt hij ineens op. Boordevol leven. Nieuwe bead gemaakt van glas uit de voorjaarscollectie 2014 van Trollbeads.,Trollbeads Beads,"<BR><div style=""text-align:justify"">Midden in de woestijn doemt hij ineens op. Boordevol leven.<BR><BR>Nieuwe bead gemaakt van glas uit de voorjaarscollectie 2014 van Trollbeads.</div><BR>",trollbeads_61489,28.00,,1,4,Block after info Column,0,oase-trollbeads-61489,oase-trollbeads-61489.html,0,No layout updates,+/trollbeads/trollbeads_61489.jpg,+/trollbeads/trollbeads_61489.jpg,+/trollbeads/trollbeads_61489.jpg,Oase,Oase,Oase,0,0,1,,,,,,
admin,default,simple,"3,4,136,289,141,142",trollbeads_61488,Woestijnroos,Trollbeads Woestijnroos 61488,Rozetformaties van kristalroosters doen denken aan een roos die symbool staat voor het leven. Nieuwe bead gemaakt van glas uit de voorjaarscollectie 2014 van Trollbeads.,Trollbeads Beads,"<BR><div style=""text-align:justify"">Rozetformaties van kristalroosters doen denken aan een roos die symbool staat voor het leven.<BR><BR>Nieuwe bead gemaakt van glas uit de voorjaarscollectie 2014 van Trollbeads.</div><BR>",trollbeads_61488,28.00,,1,4,Block after info Column,0,woestijnroos-trollbeads-61488,woestijnroos-trollbeads-61488.html,0,No layout updates,+/trollbeads/trollbeads_61488.jpg,+/trollbeads/trollbeads_61488.jpg,+/trollbeads/trollbeads_61488.jpg,Woestijnroos,Woestijnroos,Woestijnroos,0,0,1,,,,,,
admin,default,simple,"3,4,136,289,141,142",trollbeads_61487,Antiek paleis,Trollbeads Antiek paleis 61487,Weelderig en majestueus met een zweem van tijdloze schoonheid. Nieuwe bead gemaakt van glas uit de voorjaarscollectie 2014 van Trollbeads.,Trollbeads Beads,"<BR><div style=""text-align:justify"">Weelderig en majestueus met een zweem van tijdloze schoonheid.<BR><BR>Nieuwe bead gemaakt van glas uit de voorjaarscollectie 2014 van Trollbeads.</div><BR>",trollbeads_61487,28.00,,1,4,Block after info Column,0,antiek-paleis-trollbeads-61487,antiek-paleis-trollbeads-61487.html,0,No layout updates,+/trollbeads/trollbeads_61487.jpg,+/trollbeads/trollbeads_61487.jpg,+/trollbeads/trollbeads_61487.jpg,Antiek paleis,Antiek paleis,Antiek paleis,0,0,1,,,,,,
admin,default,simple,"3,4,136,289,141,142",trollbeads_62036,Saharajuweelfacet,Trollbeads Saharajuweelfacet 62036,"Kostbare rode vlammen sprankelen vanuit het binnenste, als teken van liefde en levensvatbaarheid, passie en kracht. Nieuwe bead gemaakt van glas uit de voorjaarscollectie 2014 van Trollbeads.",Trollbeads Beads,"<BR><div style=""text-align:justify"">Kostbare rode vlammen sprankelen vanuit het binnenste, als teken van liefde en levensvatbaarheid, passie en kracht.<BR><BR>Nieuwe bead gemaakt van glas uit de voorjaarscollectie 2014 van Trollbeads.</div><BR>",trollbeads_62036,39.00,,1,4,Block after info Column,0,saharajuweelfacet-trollbeads-62036,saharajuweelfacet-trollbeads-62036.html,0,No layout updates,+/trollbeads/trollbeads_62036.jpg,+/trollbeads/trollbeads_62036.jpg,+/trollbeads/trollbeads_62036.jpg,Saharajuweelfacet,Saharajuweelfacet,Saharajuweelfacet,0,0,1,,,,,,
admin,default,simple,"3,4,136,289,141,142",trollbeads_62035,Saharanachtfacet,Trollbeads Saharanachtfacet 62035,"Wanneer de zon langzaam verdwijnt achter de horizon in de verte valt de avond, met zijn betoverende, glinsterende sterren. Nieuwe bead gemaakt van glas uit de voorjaarscollectie 2014 van Trollbeads.",Trollbeads Beads,"<BR><div style=""text-align:justify"">Wanneer de zon langzaam verdwijnt achter de horizon in de verte valt de avond, met zijn betoverende, glinsterende sterren.<BR><BR>Nieuwe bead gemaakt van glas uit de voorjaarscollectie 2014 van Trollbeads.</div><BR>",trollbeads_62035,39.00,,1,4,Block after info Column,0,saharanachtfacet-trollbeads-62035,saharanachtfacet-trollbeads-62035.html,0,No layout updates,+/trollbeads/trollbeads_62035.jpg,+/trollbeads/trollbeads_62035.jpg,+/trollbeads/trollbeads_62035.jpg,Saharanachtfacet,Saharanachtfacet,Saharanachtfacet,0,0,1,,,,,,
admin,default,simple,"3,4,136,289,141,142",trollbeads_62034,Gegraveerde poÃ«zie,Trollbeads Gegraveerde poezie 62034,"Gegraveerd blad, vederlicht, dat deint op het oppervlak van het blauwe beekje. Nieuwe bead gemaakt van glas uit de voorjaarscollectie 2014 van Trollbeads.",Trollbeads Beads,"<BR><div style=""text-align:justify"">Gegraveerd blad, vederlicht, dat deint op het oppervlak van het blauwe beekje.<BR><BR>Nieuwe bead gemaakt van glas uit de voorjaarscollectie 2014 van Trollbeads.</div><BR>",trollbeads_62034,39.00,,1,4,Block after info Column,0,gegraveerde-poezie-trollbeads-62034,gegraveerde-poezie-trollbeads-62034.html,0,No layout updates,+/trollbeads/trollbeads_62034.jpg,+/trollbeads/trollbeads_62034.jpg,+/trollbeads/trollbeads_62034.jpg,Gegraveerde poezie,Gegraveerde poezie,Gegraveerde poezie,0,0,1,,,,,,
admin,default,simple,"3,4,136,289,141,142",trollbeads_62033,Gegraveerd liefdesavon...,Trollbeads Gegraveerd liefdesavon... 62033,"Gegraveerde bloem in subtiel roze, als een vluchtige zoen van degene die je liefhebt. Nieuwe bead gemaakt van glas uit de voorjaarscollectie 2014 van Trollbeads.",Trollbeads Beads,"<BR><div style=""text-align:justify"">Gegraveerde bloem in subtiel roze, als een vluchtige zoen van degene die je liefhebt.<BR><BR>Nieuwe bead gemaakt van glas uit de voorjaarscollectie 2014 van Trollbeads.</div><BR>",trollbeads_62033,39.00,,1,4,Block after info Column,0,gegraveerd-liefdesavon-trollbeads-62033,gegraveerd-liefdesavon-trollbeads-62033.html,0,No layout updates,+/trollbeads/trollbeads_62033.jpg,+/trollbeads/trollbeads_62033.jpg,+/trollbeads/trollbeads_62033.jpg,Gegraveerd liefdesavon...,Gegraveerd liefdesavon...,Gegraveerd liefdesavon...,0,0,1,,,,,,
admin,default,simple,"3,4,136,289,141,142",trollbeads_63051,City Fashion set,Trollbeads City Fashion set 63051,"Zwart en wit zijn chique en geraffineerd en passen overal goed bij, van het strak gesneden pak dat je draagt bij een zakelijke bijeenkomst tot het zwarte jurkje bij een romantisch diner voor twee. De set bestaat uit artikelnummers: 61301-61303, 61396, 613",Trollbeads Beads,"<BR><div style=""text-align:justify"">Zwart en wit zijn chique en geraffineerd en passen overal goed bij, van het strak gesneden pak dat je draagt bij een zakelijke bijeenkomst tot het zwarte jurkje bij een romantisch diner voor twee. De set bestaat uit artikelnummers: 61301-61303, 61396, 61397 en 61399.<BR><BR>Nieuwe set uit de voorjaarscollectie 2014 van Trollbeads.</div><BR>",trollbeads_63051,140.00,,1,4,Block after info Column,0,city-fashion-set-trollbeads-63051,city-fashion-set-trollbeads-63051.html,0,No layout updates,+/trollbeads/trollbeads_63051.jpg,+/trollbeads/trollbeads_63051.jpg,+/trollbeads/trollbeads_63051.jpg,City Fashion set,City Fashion set,City Fashion set,0,0,1,,,,,,
admin,default,simple,"3,4,136,289,141,142",trollbeads_63050,Sprankel set,Trollbeads Sprankel set 63050,In het schitterend gekleurde binnenste sprankelen zonnige groeten vanuit het warme woestijnzand. De set bestaat uit artikelnummers: 61487-61492. Nieuwe set uit de voorjaarscollectie 2014 van Trollbeads.,Trollbeads Beads,"<BR><div style=""text-align:justify"">In het schitterend gekleurde binnenste sprankelen zonnige groeten vanuit het warme woestijnzand. De set bestaat uit artikelnummers: 61487-61492.<BR><BR>Nieuwe set uit de voorjaarscollectie 2014 van Trollbeads.</div><BR>",trollbeads_63050,140.00,,1,4,Block after info Column,0,sprankel-set-trollbeads-63050,sprankel-set-trollbeads-63050.html,0,No layout updates,+/trollbeads/trollbeads_63050.jpg,+/trollbeads/trollbeads_63050.jpg,+/trollbeads/trollbeads_63050.jpg,Sprankel set,Sprankel set,Sprankel set,0,0,1,,,,,,
admin,default,simple,"3,4,136,289,141,142",trollbeads_80203,Smaragd,Trollbeads Smaragd 80203,"De smaragd is de heilige steen van de godin Venus; er worden uitzonderlijke krachten met betrekking tot genezing, geluk en liefde aan toegeschreven. De smaragd is ook een symbool van loyaliteit en toewijding. Nieuwe bead gemaakt van glas uit de voorjaarsc",Trollbeads Beads,"<BR><div style=""text-align:justify"">De smaragd is de heilige steen van de godin Venus; er worden uitzonderlijke krachten met betrekking tot genezing, geluk en liefde aan toegeschreven. De smaragd is ook een symbool van loyaliteit en toewijding.<BR><BR>Nieuwe bead gemaakt van glas uit de voorjaarscollectie 2014 van Trollbeads.</div><BR>",trollbeads_80203,140.00,,1,4,Block after info Column,0,smaragd-trollbeads-80203,smaragd-trollbeads-80203.html,0,No layout updates,+/trollbeads/trollbeads_80203.jpg,+/trollbeads/trollbeads_80203.jpg,+/trollbeads/trollbeads_80203.jpg,Smaragd,Smaragd,Smaragd,0,0,1,,,,,,
admin,default,simple,"3,4,136,289,141,142",trollbeads_80117,Mosagaat,Trollbeads Mosagaat 80117,"De Mosagaat brengt je emotionele energie weer in balans, waardoor kwaadheid en bitterheid verdwijnen. Kan positief werken voor concentratie, doorzettingsvermogen, verdraagzaamheid en succes. Nieuwe bead gemaakt van glas uit de voorjaarscollectie 2014 van",Trollbeads Beads,"<BR><div style=""text-align:justify"">De Mosagaat brengt je emotionele energie weer in balans, waardoor kwaadheid en bitterheid verdwijnen. Kan positief werken voor concentratie, doorzettingsvermogen, verdraagzaamheid en succes.<BR><BR>Nieuwe bead gemaakt van glas uit de voorjaarscollectie 2014 van Trollbeads.</div><BR>",trollbeads_80117,57.00,,1,4,Block after info Column,0,mosagaat-trollbeads-80117,mosagaat-trollbeads-80117.html,0,No layout updates,+/trollbeads/trollbeads_80117.jpg,+/trollbeads/trollbeads_80117.jpg,+/trollbeads/trollbeads_80117.jpg,Mosagaat,Mosagaat,Mosagaat,0,0,1,,,,,,
